,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,precision,precision,precision,precision,precision,precision,precision,recall,recall,recall,recall,recall,recall,recall,f1_score,f1_score,f1_score,f1_score,f1_score,f1_score,f1_score,time_taken,time_taken,time_taken,time_taken,time_taken,time_taken,time_taken
,RF,LR,LDA,kNN,CART,SVM,VC,RF,LR,LDA,kNN,CART,SVM,VC,RF,LR,LDA,kNN,CART,SVM,VC,RF,LR,LDA,kNN,CART,SVM,VC,RF,LR,LDA,kNN,CART,SVM,VC
0,0.8823529411764706,0.8823529411764706,1.0,0.9375,0.12801218032836914,0.8823529411764706,0.8823529411764706,1.0,0.9375,0.12801218032836914,0.8823529411764706,0.8823529411764706,1.0,0.9375,0.12801218032836914,0.8823529411764706,0.8823529411764706,1.0,0.9375,0.12801218032836914,0.8823529411764706,0.8823529411764706,1.0,0.9375,0.12801218032836914,0.8823529411764706,0.8823529411764706,1.0,0.9375,0.12801218032836914,0.8823529411764706,0.8823529411764706,1.0,0.9375,0.12801218032836914
0,0.875,0.875,1.0,0.9333333333333333,0.09051704406738281,0.875,0.875,1.0,0.9333333333333333,0.09051704406738281,0.875,0.875,1.0,0.9333333333333333,0.09051704406738281,0.8125,0.8493589743589743,0.8125,0.8277777777777778,0.09051704406738281,0.875,0.875,1.0,0.9333333333333333,0.09051704406738281,0.875,0.875,1.0,0.9333333333333333,0.09051704406738281,0.875,0.875,1.0,0.9333333333333333,0.09051704406738281
0,0.7596899224806202,0.7596899224806202,1.0,0.8634361233480177,0.11011981964111328,0.7596899224806202,0.7596899224806202,1.0,0.8634361233480177,0.11011981964111328,0.7596899224806202,0.7596899224806202,1.0,0.8634361233480177,0.11011981964111328,0.7906976744186046,0.7746922024623804,0.7906976744186046,0.747223391213657,0.11011981964111328,0.7596899224806202,0.7596899224806202,1.0,0.8634361233480177,0.11011981964111328,0.7596899224806202,0.7596899224806202,1.0,0.8634361233480177,0.11011981964111328,0.7596899224806202,0.7596899224806202,1.0,0.8634361233480177,0.11011981964111328
0,0.5546875,0.5546875,1.0,0.7135678391959799,0.09947848320007324,0.5546875,0.5546875,1.0,0.7135678391959799,0.09947848320007324,0.5546875,0.5546875,1.0,0.7135678391959799,0.09947848320007324,0.4140625,0.3948800223214286,0.4140625,0.3241972301571108,0.09947848320007324,0.5546875,0.5546875,1.0,0.7135678391959799,0.09947848320007324,0.5546875,0.5546875,1.0,0.7135678391959799,0.09947848320007324,0.5546875,0.5546875,1.0,0.7135678391959799,0.09947848320007324
0,0.75,0.75,1.0,0.8571428571428571,0.11975264549255371,0.75,0.75,1.0,0.8571428571428571,0.11975264549255371,0.75,0.75,1.0,0.8571428571428571,0.11975264549255371,0.75,0.75,1.0,0.8571428571428571,0.11975264549255371,0.75,0.75,1.0,0.8571428571428571,0.11975264549255371,0.75,0.75,1.0,0.8571428571428571,0.11975264549255371,0.75,0.75,1.0,0.8571428571428571,0.11975264549255371
0,0.65625,0.65625,1.0,0.7924528301886793,0.10866403579711914,0.65625,0.65625,1.0,0.7924528301886793,0.10866403579711914,0.65625,0.65625,1.0,0.7924528301886793,0.10866403579711914,0.328125,0.4020820926795915,0.33070866141732286,0.2157373697463444,0.10866403579711914,0.65625,0.65625,1.0,0.7924528301886793,0.10866403579711914,0.65625,0.65625,1.0,0.7924528301886793,0.10866403579711914,0.65625,0.65625,1.0,0.7924528301886793,0.10866403579711914
0,0.984375,0.984375,1.0,0.9921259842519685,0.09616947174072266,0.984375,0.984375,1.0,0.9921259842519685,0.09616947174072266,0.984375,0.984375,1.0,0.9921259842519685,0.09616947174072266,0.984375,0.984375,1.0,0.9921259842519685,0.09616947174072266,0.984375,0.984375,1.0,0.9921259842519685,0.09616947174072266,0.984375,0.984375,1.0,0.9921259842519685,0.09616947174072266,0.984375,0.984375,1.0,0.9921259842519685,0.09616947174072266
0,0.6428571428571429,0.6428571428571429,1.0,0.782608695652174,0.09036064147949219,0.6428571428571429,0.6428571428571429,1.0,0.782608695652174,0.09036064147949219,0.6428571428571429,0.6428571428571429,1.0,0.782608695652174,0.09036064147949219,0.35714285714285715,0.35714285714285715,1.0,0.5263157894736842,0.09036064147949219,0.6428571428571429,0.6428571428571429,1.0,0.782608695652174,0.09036064147949219,0.6428571428571429,0.6428571428571429,1.0,0.782608695652174,0.09036064147949219,0.6428571428571429,0.6428571428571429,1.0,0.782608695652174,0.09036064147949219
0,0.689922480620155,0.689922480620155,1.0,0.8165137614678899,0.09979748725891113,0.689922480620155,0.689922480620155,1.0,0.8165137614678899,0.09979748725891113,0.689922480620155,0.689922480620155,1.0,0.8165137614678899,0.09979748725891113,0.689922480620155,0.689922480620155,1.0,0.8165137614678899,0.09979748725891113,0.689922480620155,0.689922480620155,1.0,0.8165137614678899,0.09979748725891113,0.689922480620155,0.689922480620155,1.0,0.8165137614678899,0.09979748725891113,0.689922480620155,0.689922480620155,1.0,0.8165137614678899,0.09979748725891113
0,0.8,0.8,1.0,0.8888888888888891,0.09346270561218262,0.8,0.8,1.0,0.8888888888888891,0.09346270561218262,0.8,0.8,1.0,0.8888888888888891,0.09346270561218262,0.7076923076923077,0.6435297282754909,0.7301587301587301,0.6841126841126841,0.09346270561218262,0.8,0.8,1.0,0.8888888888888891,0.09346270561218262,0.8,0.8,1.0,0.8888888888888891,0.09346270561218262,0.8,0.8,1.0,0.8888888888888891,0.09346270561218262
