,model_version,accuracy,precision,recall,f1_score_value,time_consumed
0,v39,0.984375,0.984375,1.0,0.9921259842519685,4.271108150482178
0,v40,0.8571428571428571,0.8571428571428571,1.0,0.923076923076923,4.307367563247681
0,v41,0.4573643410852713,0.4311981504147967,0.4573643410852713,0.3654712181371285,4.90128755569458
0,v42,0.6875,0.6875,1.0,0.8148148148148148,4.800471067428589
0,v43,0.8515625,0.8515625,1.0,0.919831223628692,5.231912612915039
0,v44,0.6953125,0.6953125,1.0,0.8202764976958525,5.689187526702881
0,v45,0.9692307692307692,0.9692307692307692,1.0,0.9843749999999999,5.467959880828857
0,v46,0.9473684210526315,0.9473684210526314,1.0,0.9729729729729731,5.432304620742798
0,v47,0.918918918918919,0.918918918918919,1.0,0.9577464788732395,6.014671802520752
0,v48,0.46153846153846156,0.46153846153846156,1.0,0.631578947368421,5.553903579711914
0,v49,0.65625,0.65625,1.0,0.7924528301886793,6.2520060539245605
0,v50,0.8787878787878788,0.8787878787878788,1.0,0.9354838709677419,6.346284866333008
0,v51,0.7209302325581395,0.7209302325581394,1.0,0.8378378378378378,6.412275791168213
0,v52,0.9848484848484849,0.9848484848484849,1.0,0.9923664122137403,6.811497449874878
0,v53,1.0,1.0,1.0,1.0,6.779159069061279
0,v54,1.0,1.0,1.0,1.0,7.084047555923462
0,v55,0.782608695652174,0.782608695652174,1.0,0.878048780487805,7.195914030075073
0,v56,0.7878787878787878,0.7878787878787878,1.0,0.8813559322033898,7.309164762496948
0,v57,0.7265625,0.7265625,1.0,0.8416289592760181,7.346968650817871
0,v58,0.9814814814814815,0.9814814814814815,1.0,0.9906542056074767,7.213532447814941
0,v59,0.8269230769230769,0.8269230769230769,1.0,0.9052631578947369,7.698159456253052
0,v60,0.8507462686567164,0.8507462686567164,1.0,0.9193548387096774,7.750840187072754
0,v61,0.6953125,0.6953125,1.0,0.8202764976958525,7.586144208908081
0,v62,0.9253731343283582,0.9253731343283582,1.0,0.9612403100775194,7.607267618179321
0,v63,0.9473684210526315,0.9473684210526315,1.0,0.9729729729729729,8.037251710891724
0,v64,0.6101694915254238,0.5013409961685824,0.6206896551724138,0.5334167593622543,7.84590744972229
0,v65,0.6640625,0.6640625,1.0,0.7981220657276996,8.506710290908813
0,v66,0.8769230769230769,0.8769230769230769,1.0,0.9344262295081968,8.95047926902771
0,v67,0.6511627906976745,0.6511627906976745,1.0,0.7887323943661974,9.032623767852783
0,v68,0.9714285714285714,0.9714285714285713,1.0,0.9855072463768115,8.935125827789307
0,v69,1.0,1.0,1.0,1.0,9.607313871383667
0,v70,0.5522388059701493,0.5522388059701493,1.0,0.7115384615384616,10.215768575668335
0,v71,0.96,0.9600000000000001,1.0,0.9795918367346937,9.217498779296875
0,v72,0.689922480620155,0.689922480620155,1.0,0.8165137614678899,10.052953481674194
0,v73,0.7530864197530864,0.7530864197530864,1.0,0.8591549295774648,10.490525484085083
0,v74,0.6615384615384615,0.6615384615384615,1.0,0.7962962962962965,9.896766424179077
0,v75,0.6794871794871795,0.6794871794871794,1.0,0.8091603053435115,9.412859439849854
0,v76,0.9875,0.9875,1.0,0.9937106918238994,9.504024028778076
0,v77,0.9620253164556962,0.9620253164556963,1.0,0.9806451612903226,9.550599098205566
